address,year_built,home_sqft,bedrooms,bathrooms,garage_spaces,asking_rent,rent_per_sqft,furnished,pool,lot_sqft,status,days_on_market,last_seen_date,listing_id,zipCode,city,state,propertyType
"3873 E Bighorn Ave, Phoenix, AZ 85044",1988.0,1250.0,3,2.0,2.0,2239,1.7912,Unknown,,5769.0,Active,2,2026-01-22T00:45:50.957Z,"3873-E-Bighorn-Ave,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"8845 S 48th St, Phoenix, AZ 85044",,,2,2.0,,3208,,Unknown,,,Active,631,2026-01-21T03:46:07.704Z,"8845-S-48th-St,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"4655 E Monte Way, Phoenix, AZ 85044",1988.0,2708.0,4,3.0,2.0,5500,2.031,Unknown,True,9148.0,Active,6,2026-01-21T03:45:46.356Z,"4655-E-Monte-Way,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"10038 S 46th Pl, Phoenix, AZ 85044",1981.0,1320.0,3,2.0,2.0,2350,1.7803,Unknown,,9148.0,Active,7,2026-01-21T03:45:44.699Z,"10038-S-46th-Pl,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"3213 E Desert Flower Ln, Phoenix, AZ 85044",1995.0,3288.0,5,3.5,3.0,3995,1.215,Unknown,,8712.0,Active,8,2026-01-21T03:45:02.082Z,"3213-E-Desert-Flower-Ln,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"11009 S Tewa St, Phoenix, AZ 85044",1978.0,1182.0,3,2.0,2.0,1995,1.6878,Unknown,,6970.0,Active,10,2026-01-21T03:44:27.462Z,"11009-S-Tewa-St,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"3534 E Verbena Dr, Phoenix, AZ 85044",1987.0,1422.0,3,2.0,2.0,3600,2.5316,Unknown,,3920.0,Active,12,2026-01-21T03:44:21.648Z,"3534-E-Verbena-Dr,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"4302 E Bannock St, Phoenix, AZ 85044",1984.0,1273.0,3,2.0,2.0,2400,1.8853,Unknown,,6534.0,Active,14,2026-01-21T03:43:54.385Z,"4302-E-Bannock-St,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"3618 E Goldfinch Gate Ln, Phoenix, AZ 85044",1987.0,2118.0,3,2.0,2.0,3100,1.4636,Unknown,,7405.0,Active,15,2026-01-21T03:43:52.741Z,"3618-E-Goldfinch-Gate-Ln,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"10610 S 48th St E, Unit 1061, Phoenix, AZ 85044",1986.0,965.0,2,1.5,,1600,1.658,Unknown,,871.0,Active,15,2026-01-21T03:43:49.418Z,"10610-S-48th-St-E,-Unit-1061,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"9440 S 44th St, Phoenix, AZ 85044",1985.0,1195.0,2,2.0,2.0,2200,1.841,Unknown,,4792.0,Active,17,2026-01-21T03:43:46.845Z,"9440-S-44th-St,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"4213 E Mandan St, Phoenix, AZ 85044",1979.0,1533.0,3,2.0,2.0,2250,1.4677,Unknown,,7405.0,Active,37,2026-01-21T03:40:24.005Z,"4213-E-Mandan-St,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"4307 E South Fork Dr, Phoenix, AZ 85044",,1473.0,3,2.0,2.0,2400,1.6293,Unknown,,5227.0,Active,42,2026-01-21T03:38:47.129Z,"4307-E-South-Fork-Dr,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"11202 S Shoshoni Dr, Phoenix, AZ 85044",1978.0,1986.0,3,2.0,2.0,2990,1.5055,Unknown,True,7344.0,Active,141,2026-01-21T03:37:22.193Z,"11202-S-Shoshoni-Dr,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"4509 E South Fork Dr, Phoenix, AZ 85044",1993.0,1524.0,3,2.0,2.0,2095,1.3747,Unknown,,4792.0,Active,52,2026-01-21T03:36:20.101Z,"4509-E-South-Fork-Dr,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"4201 E Raven Rd, Phoenix, AZ 85044",,2500.0,2,2.0,,2000,0.8,Unknown,,,Active,122,2026-01-21T03:36:06.295Z,"4201-E-Raven-Rd,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"9611 S 50th St, Phoenix, AZ 85044",1993.0,2062.0,3,2.5,,2850,1.3822,Unknown,,4792.0,Active,112,2026-01-21T03:35:13.579Z,"9611-S-50th-St,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
"4728 E South Fork Dr, Phoenix, AZ 85044",1997.0,1890.0,4,2.0,,2200,1.164,Unknown,,6534.0,Active,64,2026-01-21T03:34:41.169Z,"4728-E-South-Fork-Dr,-Phoenix,-AZ-85044",85044,Phoenix,AZ,Single Family
