address,year_built,home_sqft,bedrooms,bathrooms,garage_spaces,asking_rent,rent_per_sqft,furnished,pool,lot_sqft,status,days_on_market,last_seen_date,listing_id,zipCode,city,state,propertyType
"3502 S Chaparral Rd, Apache Junction, AZ 85119",,1186.0,3,2.0,1.0,1925,1.6231,Unknown,True,3750.0,Active,1,2026-02-06T02:26:13.903Z,"3502-S-Chaparral-Rd,-Apache-Junction,-AZ-85119",85119,Apache Junction,AZ,Single Family
"3453 S Chaparral Rd, Apache Junction, AZ 85119",,1615.0,3,2.5,1.0,1885,1.1672,Unknown,True,2995.0,Active,1,2026-02-06T02:23:12.032Z,"3453-S-Chaparral-Rd,-Apache-Junction,-AZ-85119",85119,Apache Junction,AZ,Single Family
"3264 S Chaparral Rd, Apache Junction, AZ 85119",2003.0,2274.0,3,2.5,1.0,1950,0.8575,Unknown,,3049.0,Active,90,2026-02-06T02:11:49.447Z,"3264-S-Chaparral-Rd,-Apache-Junction,-AZ-85119",85119,Apache Junction,AZ,Single Family
"2349 E 35th Ave, Apache Junction, AZ 85119",,1614.0,3,2.5,1.0,2035,1.2608,Unknown,True,2995.0,Active,1,2026-02-04T01:48:32.931Z,"2349-E-35th-Ave,-Apache-Junction,-AZ-85119",85119,Apache Junction,AZ,Single Family
"528 E Navajo Ave, Apt 3, Apache Junction, AZ 85119",2006.0,1024.0,3,2.0,,1650,1.6113,Unknown,,7841.0,Active,81,2026-02-06T02:01:53.180Z,"528-E-Navajo-Ave,-Apt-3,-Apache-Junction,-AZ-85119",85119,Apache Junction,AZ,Townhouse
"540 S Ocotillo Dr, Apache Junction, AZ 85120",,950.0,3,2.0,,1950,2.0526,Unknown,,6000.0,Active,1,2026-02-06T02:30:41.043Z,"540-S-Ocotillo-Dr,-Apache-Junction,-AZ-85120",85120,Apache Junction,AZ,Single Family
"1691 W Spaulding Ave, Apache Junction, AZ 85120",,1432.0,3,2.0,,1949,1.361,Unknown,,4800.0,Active,1,2026-02-06T02:23:12.022Z,"1691-W-Spaulding-Ave,-Apache-Junction,-AZ-85120",85120,Apache Junction,AZ,Single Family
"1866 W 20th Ave, Apache Junction, AZ 85120",,1368.0,3,2.0,1.0,2065,1.5095,Unknown,,4725.0,Active,1,2026-02-06T02:23:11.952Z,"1866-W-20th-Ave,-Apache-Junction,-AZ-85120",85120,Apache Junction,AZ,Single Family
"3226 W Stanton Ave, Apache Junction, AZ 85120",,1545.0,3,2.0,,2250,1.4563,Unknown,,5042.0,Active,1,2026-02-06T02:23:11.941Z,"3226-W-Stanton-Ave,-Apache-Junction,-AZ-85120",85120,Apache Junction,AZ,Single Family
"905 N Ocotillo Dr, Apache Junction, AZ 85120",1978.0,1308.0,3,2.0,1.0,1800,1.3761,Unknown,,8276.0,Active,8,2026-02-06T00:44:06.145Z,"905-N-Ocotillo-Dr,-Apache-Junction,-AZ-85120",85120,Apache Junction,AZ,Single Family
